2025-11-20 01:44:57 | INFO | strapi_api | [POST] https://tranquil-compassion-986c2331de.strapiapp.com/api/articles | Payload: {'data': {'title': 'Show care space', 'description': 'Beat speech course poor if. Strategy measure return speech above member whom.', 'slug': 'show-care-space', 'author': 1}} | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-20 01:44:58 | INFO | strapi_api | → Response [POST 201]: {"data":{"id":1822,"documentId":"y0ky7fum3o86oqwwo4qwv2d1","title":"Show care space","description":"Beat speech course poor if. Strategy measure return speech above member whom.","slug":"show-care-spa...
2025-11-20 01:44:58 | INFO | strapi_api | [GET] https://tranquil-compassion-986c2331de.strapiapp.com/api/articles/y0ky7fum3o86oqwwo4qwv2d1 | Params: None | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-20 01:44:58 | INFO | strapi_api | → Response [GET 200]: {"data":{"id":1822,"documentId":"y0ky7fum3o86oqwwo4qwv2d1","title":"Show care space","description":"Beat speech course poor if. Strategy measure return speech above member whom.","slug":"show-care-spa...
2025-11-20 01:44:58 | INFO | validation_manager | Validating status code 200 for URL: https://tranquil-compassion-986c2331de.strapiapp.com/api/articles/y0ky7fum3o86oqwwo4qwv2d1
2025-11-20 01:44:58 | INFO | validation_manager |  Status code 200 validated successfully for https://tranquil-compassion-986c2331de.strapiapp.com/api/articles/y0ky7fum3o86oqwwo4qwv2d1
2025-11-20 01:44:58 | INFO | validation_manager | Validating response JSON against 'detail_response_schema.json'
2025-11-20 01:44:58 | INFO | validation_manager | Loaded schema: detail_response_schema.json
2025-11-20 01:44:58 | INFO | validation_manager | JSON schema validation passed: detail_response_schema.json
2025-11-20 01:44:58 | INFO | validation_manager | Validating field 'documentId' equals 'y0ky7fum3o86oqwwo4qwv2d1' at root data level
2025-11-20 01:44:58 | INFO | validation_manager | Extracting JSON from response...
2025-11-20 01:44:58 | INFO | validation_manager | Field 'documentId' equals expected value
2025-11-20 01:44:58 | INFO | validation_manager | Validating field 'slug' equals 'show-care-space' at root data level
2025-11-20 01:44:58 | INFO | validation_manager | Extracting JSON from response...
2025-11-20 01:44:58 | INFO | validation_manager | Field 'slug' equals expected value
2025-11-20 01:44:58 | INFO | validation_manager | Validating field 'title' equals 'Show care space' at root data level
2025-11-20 01:44:58 | INFO | validation_manager | Extracting JSON from response...
2025-11-20 01:44:58 | INFO | validation_manager | Field 'title' equals expected value
