2025-11-10 19:14:15 | INFO | strapi_api | [POST] https://tranquil-compassion-986c2331de.strapiapp.com/api/articles | Payload: {'data': {'title': 'Cut teacher', 'description': 'Hold piece receive last although image.', 'slug': 'cut-teacher', 'author': 1}} | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 19:14:16 | INFO | strapi_api | → Response [POST 201]: {"data":{"id":1304,"documentId":"jevibg23r3jbqiy7dy338mh9","title":"Cut teacher","description":"Hold piece receive last although image.","slug":"cut-teacher","createdAt":"2025-11-10T19:14:16.062Z","up...
2025-11-10 19:14:16 | INFO | strapi_api | [GET] https://tranquil-compassion-986c2331de.strapiapp.com/api/articles | Params: None | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 19:14:16 | INFO | strapi_api | → Response [GET 200]: {"data":[{"id":84,"documentId":"pi22myae8qhr12h5ntwibz2a","title":"Tend","description":"Friend group sign shake. Necessary point just consider game drive.","slug":"bill-statement","createdAt":"2025-11...
2025-11-10 19:14:16 | INFO | validation_manager | Validating status code 200 for URL: https://tranquil-compassion-986c2331de.strapiapp.com/api/articles
2025-11-10 19:14:16 | INFO | validation_manager |  Status code 200 validated successfully for https://tranquil-compassion-986c2331de.strapiapp.com/api/articles
2025-11-10 19:14:16 | INFO | validation_manager | Validating response JSON against 'list_response_schema.json'
2025-11-10 19:14:16 | INFO | validation_manager | Loaded schema: list_response_schema.json
2025-11-10 19:14:16 | INFO | validation_manager | JSON schema validation passed: list_response_schema.json
2025-11-10 19:14:16 | INFO | validation_manager | Checking if list contains documentId 'jevibg23r3jbqiy7dy338mh9'...
2025-11-10 19:14:16 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 19:14:16 | INFO | validation_manager | documentId 'jevibg23r3jbqiy7dy338mh9' found successfully.
2025-11-10 19:14:16 | INFO | validation_manager | Validating field 'title' for documentId 'jevibg23r3jbqiy7dy338mh9'...
2025-11-10 19:14:16 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 19:14:16 | INFO | validation_manager | Field 'title' validated successfully.
2025-11-10 19:14:16 | INFO | validation_manager | Validating field 'slug' for documentId 'jevibg23r3jbqiy7dy338mh9'...
2025-11-10 19:14:16 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 19:14:16 | INFO | validation_manager | Field 'slug' validated successfully.
