2025-11-10 18:40:35 | INFO | strapi_api | [POST] https://tranquil-compassion-986c2331de.strapiapp.com/api/categories | Payload: {'data': {'name': 'Meeting', 'slug': 'meeting', 'description': 'Newspaper history behind.', 'articles': {'connect': [{'documentId': 'ftr9oct41ji09mc913qy3aw9'}]}}} | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 18:40:35 | INFO | strapi_api | → Response [POST 201]: {"data":{"id":149,"documentId":"q29z21nzz0c9nwbcj03pllzz","name":"Meeting","slug":"meeting","description":"Newspaper history behind.","createdAt":"2025-11-10T18:40:35.128Z","updatedAt":"2025-11-10T18:...
2025-11-10 18:40:35 | INFO | strapi_api | [GET] https://tranquil-compassion-986c2331de.strapiapp.com/api/categories/q29z21nzz0c9nwbcj03pllzz | Params: None | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 18:40:35 | INFO | strapi_api | → Response [GET 200]: {"data":{"id":149,"documentId":"q29z21nzz0c9nwbcj03pllzz","name":"Meeting","slug":"meeting","description":"Newspaper history behind.","createdAt":"2025-11-10T18:40:35.128Z","updatedAt":"2025-11-10T18:...
2025-11-10 18:40:35 | INFO | validation_manager | Validating status code 200 for URL: https://tranquil-compassion-986c2331de.strapiapp.com/api/categories/q29z21nzz0c9nwbcj03pllzz
2025-11-10 18:40:35 | INFO | validation_manager |  Status code 200 validated successfully for https://tranquil-compassion-986c2331de.strapiapp.com/api/categories/q29z21nzz0c9nwbcj03pllzz
2025-11-10 18:40:35 | INFO | validation_manager | Validating response JSON against 'detail_response_schema.json'
2025-11-10 18:40:35 | INFO | validation_manager | Loaded schema: detail_response_schema.json
2025-11-10 18:40:35 | INFO | validation_manager | JSON schema validation passed: detail_response_schema.json
2025-11-10 18:40:35 | INFO | validation_manager | Validating field 'documentId' equals 'q29z21nzz0c9nwbcj03pllzz' at root data level
2025-11-10 18:40:35 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:35 | INFO | validation_manager | Field 'documentId' equals expected value
2025-11-10 18:40:35 | INFO | validation_manager | Validating field 'name' equals 'Meeting' at root data level
2025-11-10 18:40:35 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:35 | INFO | validation_manager | Field 'name' equals expected value
2025-11-10 18:40:35 | INFO | validation_manager | Validating field 'slug' equals 'meeting' at root data level
2025-11-10 18:40:35 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:35 | INFO | validation_manager | Field 'slug' equals expected value
